ANO;MES;Faixa_Salarial;Qtd_Valores_Faixa_Salarial
2020;5;;216861
2020;5;0;17321
2020;5;1;6232
2020;5;2;11263
2020;5;3;6208
2020;5;4;49659
2020;5;5;25220
2020;5;6;14457
2020;5;7;2073
2020;5;8;10
2020;5;9;2
2020;6;;239482
2020;6;0;16016
2020;6;1;6862
2020;6;2;12513
2020;6;3;6727
2020;6;4;54228
2020;6;5;27404
2020;6;6;15732
2020;6;7;2293
2020;6;8;11
2020;6;9;2
2020;7;;245577
2020;7;0;9300
2020;7;1;6198
2020;7;2;12333
2020;7;3;6746
2020;7;4;56709
2020;7;5;28701
2020;7;6;16241
2020;7;7;2343
2020;7;8;18
2020;8;;246650
2020;8;0;6524
2020;8;1;6174
2020;8;2;12380
2020;8;3;6957
2020;8;4;58630
2020;8;5;29948
2020;8;6;16909
2020;8;7;2328
2020;8;8;18
2020;8;9;2
2020;9;;246171
2020;9;0;5374
2020;9;1;6352
2020;9;2;12010
2020;9;3;6850
2020;9;4;60348
2020;9;5;30590
2020;9;6;17200
2020;9;7;2387
2020;9;8;14
2020;9;9;2
2020;10;;240124
2020;10;0;4506
2020;10;1;6042
2020;10;2;11658
2020;10;3;6540
2020;10;4;60963
2020;10;5;30948
2020;10;6;17310
2020;10;7;2354
2020;10;8;13
2020;10;9;3
2020;11;;239993
2020;11;0;3769
2020;11;1;5840
2020;11;2;11692
2020;11;3;6574
2020;11;4;61865
2020;11;5;31740
2020;11;6;17593
2020;11;7;2357
2020;11;8;11
2020;11;9;4
