cargo;Cargo_relacionado;qtd_populacao_entrevistada
Agricultor / criador de animais / pescador / silvicultor e jardineiro;Agropecuária;107097
Pedreiro / servente de pedreiro / pintor / eletricista / marceneiro;Reforma/Construção;69342
Empregado domestico / diarista / cozinheiro;Serv. Domésticos;52427
Outra profissão de nível superior;Outras (Nív. Sup.);50613
Professor da educação infantil / de ensino fundamental / médio ou superior;Professor ;44010
Auxiliar de escritório / escriturário;Aux. Escr.;37992
Outro técnico ou profissional de nível médio;Outros (Nív. Médio);37393
Diretor / gerente / cargo polí­tico ou comissionado;Diretor/Gerente;30918
Faxineiro / auxiliar de limpeza etc.;Aux. Limpeza;30527
Auxiliar da agropecuária;Aux. Agropec.;27303
Auxiliar de produção / de carga e descarga;Aux. Produção;25778
Motorista;Motorista;23160
Mecânico de veí­culos / máquinas industriais etc.;Mecânico de veí­culos / máquinas industriais etc.;22343
Operador de máquinas / montador na indústria;Operador de máquinas / montador na indústria;21187
Artesão / costureiro e sapateiro;Artesão / costureiro e sapateiro;20722
Médico / enfermeiro / profissionais de saúde de nível superior;Médico / enfermeiro / profissionais de saúde de nível superior;19969
Técnico / profissional da saúde de ní­vel médio;Técnico / profissional da saúde de ní­vel médio;19932
Cabeleireiro / manicure e afins;Cabeleireiro / manicure e afins;18814
Motorista de caminhão;Motorista de caminhão;18716
Segurança / vigilante / outro trabalhador dos serviços de proteção;Segurança / vigilante / outro trabalhador dos serviços de proteção;17461
Cozinheiro e garçon;Cozinheiro e garçon;17220
Padeiro / açougueiro e doceiro;Padeiro / açougueiro e doceiro;10453
Porteiro / zelador;Porteiro / zelador;7176
Entregador de mercadorias;Entregador de mercadorias;7096
Pedagogo / professor de idiomas / música / arte e reforço escolar;Pedagogo / professor de idiomas / música / arte e reforço escolar;6241
Cuidador de crianças / doentes ou idosos;Cuidador de crianças / doentes ou idosos;3696
Motoboy;Motoboy;2744
Artista / religioso;Artista / religioso;2462
Policial civil;Policial civil;1475
